A	A's,a's
beat	beats,beating,beaten
beater	beaters
beatify	beatifies,beatifying,beatified
beating	beatings
beatnik	beatniks
beau	beaux,beaus
beaut	beauts
beautician	beauticians
beautify	beautifies,beautifying,beautified
beauty	beauties
beauty contest	beauty contests
beauty pageant	beauty pageants
beauty parlour	beauty parlours
beauty queen	beauty queens
beauty salon	beauty salons
beauty shop	beauty shops
beauty spot	beauty spots
beaver	beavers,beavering,beavered
beckon	beckons,beckoning,beckoned
become	becomes,becoming,became
bed	beds
BEd	BEds
bed and breakfast	bed and breakfasts
bedbug	bedbugs
bedchamber	bedchambers
bedding plant	bedding plants
bedeck	bedecks,bedecking,bedecked
bedevil	bedevils,bedevilling,bedevilled
bedfellow	bedfellows
bedhead	bedheads
Bedouin	Bedouins,Bedouin
bedpan	bedpans
bedpost	bedposts
bedroll	bedrolls
bedroom	bedrooms
bedsit	bedsits
bedsitter	bedsitters
bedspread	bedspreads
bedstead	bedsteads
bee	bees
beech	beeches
beef	beefs,beefing,beefed
beefburger	beefburgers
beefcake	beefcakes
Beefeater	Beefeaters
beefsteak	beefsteaks
beefy	beefier,beefiest
beehive	beehives
beekeeper	beekeepers
beep	beeps,beeping,beeped
beeper	beepers
beer	beers
beer belly	beer bellies
beer gut	beer guts
beermat	beermats
beet	beets
beetle	beetles
beetroot	beetroots
befall	befalls,befalling,befell,befallen
befit	befits,befitting,befitted
befriend	befriends,befriending,befriended
befuddle	befuddles,befuddling,befuddled
beg	begs,begging,begged
beget	begets,begetting,begot,begotten
begetter	begetters
beggar	beggars,beggaring,beggared
begging bowl	begging bowls
begging letter	begging letters
begin	begins,beginning,began,begun
beginner	beginners
beginning	beginnings
begonia	begonias
begrudge	begrudges,begrudging,begrudged
beguile	beguiles,beguiling,beguiled
behave	behaves,behaving,behaved
behaviour	behaviours
behaviourism	behaviourists
behead	beheads,beheading,beheaded
behemoth	behemoths
behest	behests
behind	behinds
behold	beholds,beholding,beheld
beholder	beholders
behove	behoves,behoved
being	beings
belabour	belabours,belabouring,belaboured
belch	belches,belching,belched
belfry	belfries
Belgian	Belgians
belie	belies,belying,belied
belief	beliefs
belief system	belief systems
believe	believes,believing,believed
believer	believers
belittle	belittles,belittling,belittled
bell	bells
bellboy	bellboys
belle	belles
bellow	bellows,bellowing,bellowed
bell pepper	bell peppers
bell ringer	bell ringers
bellwether	bellwethers
belly	bellies
bellyache	bellyaches,bellyaching,bellyached
belly button	belly buttons
belly dancer	belly dancers
belly laugh	belly laughs
belong	belongs,belonging,belonged
below-the-line promotion	below-the-line promotions
belt	belts,belting,belted
beltway	beltways
bemoan	bemoans,bemoaning,bemoaned
bemuse	bemuses,bemusing,bemused
bench	benches
benchmark	benchmarks
bend	bends,bending,bent
bender	benders
bendy	bendier,bendiest
Benedictine	Benedictines
benediction	benedictions
benefactor	benefactors
beneficiary	beneficiaries
benefit	benefits,benefiting,benefitting,benefited,benefitted
Bengali	Bengalis
bequeath	bequeaths,bequeathing,bequeathed
bequest	bequests
berate	berates,berating,berated
Berber	Berbers
bereavement	bereavements
beret	berets
berk	berks
berry	berries
berth	berths,berthing,berthed
beseech	beseeches,beseeching,beseeched
beset	besets,besetting
besiege	besieges,besieging,besieged
besmirch	besmirches,besmirching,besmirched
bespeak	bespeaks,bespeaking,bespoke,bespoken
bestow	bestows,bestowing,bestowed
bestride	bestrides,bestriding,bestrode,bestridden
best seller	best sellers
bet	bets,betting
beta blocker	beta blockers
betoken	betokens,betokening,betokened
betray	betrays,betraying,betrayed
betrayal	betrayals
betrothal	betrothals
better	betters,bettering,bettered
betting shop	betting shops
beverage	beverages
bevvy	bevvies
bevy	bevies
bewail	bewails,bewailing,bewailed
bewilder	bewilders,bewildering,bewildered
bewitch	bewitches,bewitching,bewitched
bhaji	bhajis
bias	biases,biasing,biased
bib	bibs
Bible	Bibles
bibliography	bibliographies
bicentenary	bicentenaries
bicentennial	bicentennials
biceps	biceps
bicker	bickers,bickering,bickered
bicycle	bicycles
bicyclist	bicyclists
bid	bids,bidding
bid	bids,bidding,bade,bidden
bidder	bidders
biddy	biddies
bide	bides,biding,bided
bidet	bidets
bid price	bid prices
biennial	biennials
biff	biffs,biffing,biffed
bifurcate	bifurcates,bifurcating,bifurcated
big	bigger,biggest
bigamist	bigamists
big band	big bands
big cat	big cats
big dipper	big dippers
big fish	big fish
biggie	biggies
big gun	big guns
big head	big heads
big hitter	big hitters
big mouth	big mouths
big name	big names
big noise	big noises
bigot	bigots
big shot	big shots
big toe	big toes
big wheel	big wheels
bigwig	bigwigs
bike	bikes,biking,biked
bike lane	bike lanes
biker	bikers
bikeway	bikeways
bikini	bikinis
bilberry	bilberries
bilge	bilges
bilk	bilks,bilking,bilked
bill	bills,billing,billed
billboard	billboards
billet	billets,billeting,billeted
billfold	billfolds
billion	billions
billionaire	billionaires
billionth	billionths
bill of fare	bills of fare
billow	billows,billowing,billowed
billy	billies
billy goat	billy goats
bimbo	bimbos
bin	bins,binning,binned
binary code	binary codes
bind	binds,binding,bound
binder	binders
binding	bindings
binge	binges,bingeing,binged
binge drinking	binge drinkers
bin liner	bin liners
biochemist	biochemists
biographer	biographers
biography	biographies
biological clock	biological clocks
biology	biologists
biopic	biopics
biopsy	biopsies
biotechnology	biotechnologists
bioterrorism	bioterrorists
bioweapon	bioweapons
biped	bipeds
biplane	biplanes
bipolar disorder	bipolar disorders
birch	birches
bird	birds
birdcage	birdcages
birdie	birdies,birdying,birdied
bird of paradise	birds of paradise
bird of passage	birds of passage
bird of prey	birds of prey
bird's eye view	bird's eye views
birdsong	birdsongs
bird table	bird tables
bird-watcher	bird-watchers
Biro	Biros
birth	births
birth certificate	birth certificates
birthdate	birthdates
birthday	birthdays
birthday suit	birthday suits
birthmark	birthmarks
birthplace	birthplaces
birth rate	birth rates
birthright	birthrights
biscuit	biscuits
bisect	bisects,bisecting,bisected
bisexual	bisexuals
bishop	bishops
bishopric	bishoprics
bison	bison
bistro	bistros
bit	bits
bitch	bitches,bitching,bitched
bite	bites,biting,bit,bitten
bitmap	bitmaps,bitmapping,bitmapped
bit part	bit parts
bitter	bitterest,bitters
bivouac	bivouacs,bivouacking,bivouacked
blab	blabs,blabbing,blabbed
black	blacker,blackest,blacks,blacking,blacked
blackball	blackballs,blackballing,blackballed
black belt	black belts
blackberry	blackberries
blackbird	blackbirds
blackboard	blackboards
black box	black boxes
blackcurrant	blackcurrants
blacken	blackens,blackening,blackened
black eye	black eyes
blackhead	blackheads
black hole	black holes
blacklist	blacklists,blacklisting,blacklisted
blackmail	blackmails,blackmailing,blackmailed
black mark	black marks
black market	black markets
black marketeer	black marketeers
blackout	blackouts
black pudding	black puddings
blacksmith	blacksmiths
black spot	black spots
bladder	bladders
blade	blades
blag	blags,blagging,blagged
blame	blames,blaming,blamed
blanch	blanches,blanching,blanched
blancmange	blancmanges
bland	blander,blandest
blank	blanks,blanking,blanked
blank cheque	blank cheques
blanket	blankets,blanketing,blanketed
blare	blares,blaring,blared
blaspheme	blasphemes,blaspheming,blasphemed
blasphemy	blasphemies
blast	blasts,blasting,blasted
blast furnace	blast furnaces
blather	blathers,blathering,blathered
blaze	blazes,blazing,blazed
blazer	blazers
bldg	bldgs
bleach	bleaches,bleaching,bleached
bleak	bleaker,bleakest
bleat	bleats,bleating,bleated
bleed	bleeds,bleeding,bled
bleeding heart	bleeding hearts
bleep	bleeps,bleeping,bleeped
bleeper	bleepers
blemish	blemishes,blemishing,blemished
blend	blends,blending,blended
blender	blenders
bless	blesses,blessing,blessed
blessing	blessings
blight	blights,blighting,blighted
blighter	blighters
blimp	blimps
blind	blinds,blinding,blinded
blind alley	blind alleys
blind date	blind dates
blinder	blinders
blindfold	blindfolds,blindfolding,blindfolded
blind spot	blind spots
blind trust	blind trusts
blink	blinks,blinking,blinked
blip	blips
blister	blisters,blistering,blistered
blitz	blitzes,blitzing,blitzed
blitzkrieg	blitzkriegs
blizzard	blizzards
blob	blobs
bloc	blocs
block	blocks,blocking,blocked
blockade	blockades,blockading,blockaded
blockage	blockages
blockbuster	blockbusters
block vote	block votes
blog	blogs
bloke	blokes
blonde	blondes,blonder,blondest
blonde bombshell	blonde bombshells
blood bank	blood banks
bloodbath	bloodbaths
blood brother	blood brothers
blood count	blood counts
blood donor	blood donors
blood feud	blood feuds
blood group	blood groups
bloodhound	bloodhounds
bloodline	bloodlines
blood pudding	blood puddings
blood relation	blood relations
blood sport	blood sports
bloodstain	bloodstains
bloodstream	bloodstreams
bloodsucker	bloodsuckers
blood test	blood tests
blood transfusion	blood transfusions
blood type	blood types
blood vessel	blood vessels
bloody	bloodier,bloodiest,bloodies,bloodying,bloodied
Bloody Mary	Bloody Marys
bloom	blooms,blooming,bloomed
blooper	bloopers
blossom	blossoms,blossoming,blossomed
blot	blots,blotting,blotted
blotch	blotches
blotter	blotters
blouse	blouses
blow	blows,blowing,blew,blown
blow	blows
blow-dry	blow-dries,blow-drying,blow-dried
blowlamp	blowlamps
blowout	blowouts
blowtorch	blowtorches
blow-up	blow-ups
blub	blubs,blubbing,blubbed
blubber	blubbers,blubbering,blubbered
bludgeon	bludgeons,bludgeoning,bludgeoned
blue	bluer,bluest,blues
blue baby	blue babies
bluebell	bluebells
blueberry	blueberries
blue book	blue books
bluebottle	bluebottles
blue chip	blue chips
blue-eyed boy	blue-eyed boys
blueprint	blueprints
blue riband	blue ribands
blue ribbon	blue ribbons
bluestocking	bluestockings
blue tit	blue tits
bluff	bluffs,bluffing,bluffed
blunder	blunders,blundering,blundered
blunt	blunter,bluntest,blunts,blunting,blunted
blur	blurs,blurring,blurred
blurb	blurbs
blurt	blurts,blurting,blurted
blush	blushes,blushing,blushed
blusher	blushers
bluster	blusters,blustering,blustered
BMI	BMIs
B-movie	B-movies
boa	boas
boa constrictor	boa constrictors
boar	boars
board	boards,boarding,boarded
boarder	boarders
board game	board games
boarding card	boarding cards
boarding house	boarding houses
boarding school	boarding schools
board of directors	boards of directors
boardroom	boardrooms
boardwalk	boardwalks
boast	boasts,boasting,boasted
boat	boats
boatbuilder	boatbuilders
boater	boaters
boathouse	boathouses
boatload	boatloads
boatman	boatmen
boat train	boat trains
boatyard	boatyards
bob	bobs,bobbing,bobbed
bobbin	bobbins
bobble	bobbles
bobble hat	bobble hats
bobby	bobbies
bobby pin	bobby pins
bobcat	bobcats
bobsled	bobsleds
bobsleigh	bobsleighs
bod	bods
bode	bodes,boding,boded
bodge	bodges,bodging,bodged
bodice	bodices
bodice ripper	bodice rippers
bodily function	bodily functions
body	bodies
body bag	body bags
body blow	body blows
bodybuilder	bodybuilders
body clock	body clocks
bodyguard	bodyguards
body search	body searches,body searching,body searched
body stocking	body stockings
bodysuit	bodysuits
Boer	Boers
boffin	boffins
bog	bogs,bogging,bogged
bogey	bogeys
bogeyman	bogeymen
boggle	boggles,boggling,boggled
bogy	bogies
bohemian	bohemians
boil	boils,boiling,boiled
boiled sweet	boiled sweets
boiler	boilers
boiler suit	boiler suits
bold	bolder,boldest
bolero	boleros
Bolivian	Bolivians
bollard	bollards
Bolshevik	Bolsheviks
bolster	bolsters,bolstering,bolstered
bolt	bolts,bolting,bolted
bolt-hole	bolt-holes
bomb	bombs,bombing,bombed
bombard	bombards,bombarding,bombarded
bombardment	bombardments
bomber	bombers
bomber jacket	bomber jackets
bombshell	bombshells
bomb site	bomb sites
bonanza	bonanzas
bonce	bonces
bond	bonds,bonding,bonded
bondholder	bondholders
bone	bones,boning,boned
bone of contention	bones of contention
bonfire	bonfires
bong	bongs
bongo	bongos
bonk	bonks,bonking,bonked
bon mot	bons mots,bon mots
bonnet	bonnets
bonny	bonnier,bonniest
bonsai	bonsai
bonus	bonuses
boo	boos,booing,booed
boob	boobs,boobing,boobed
boob tube	boob tubes
booby prize	booby prizes
booby-trap	booby-traps,booby-trapping,booby-trapped
boogeyman	boogeymen
boogie	boogies,boogying,boogieing,boogied
book	books,booking,booked
bookbinder	bookbinders
bookcase	bookcases
book club	book clubs
bookend	bookends
bookie	bookies
booking	bookings
booking clerk	booking clerks
booking office	booking offices
bookkeeper	bookkeepers
booklet	booklets
bookmaker	bookmakers
bookmark	bookmarks,bookmarking,bookmarked
bookplate	bookplates
bookseller	booksellers
bookshelf	bookshelves
bookshop	bookshops
bookstall	bookstalls
bookstore	bookstores
book value	book values
bookworm	bookworms
